municipio,total,urbana,"urbana_na_sede_municipal","total_percentual","urbana_percentual","urbana_na_sede_municipal_percentual","area_total_km2","densidade_demografica_da_unidade_territorial_hab_km2"
Arapeí,2493,1875,1875,"100,00%","75,00%","75,00%","156,8","15,9"
Araraquara,208662,202730,143431,"100,00%","97,00%","68,00%","1004,1","207,8"
Araras,118843,112444,112444,"100,00%","94,00%","94,00%","644,8","184,3"
Arco-Íris,1925,1097,1097,"100,00%","56,00%","56,00%","264,7","7,27"
Arealva,7841,6176,5113,"100,00%","78,00%","65,00%",505,"15,53"
Areias,3696,2478,2478,"100,00%","67,00%","67,00%","305,2","12,11"
Areiópolis,10579,9401,9401,"100,00%","88,00%","88,00%","85,8","123,34"
Ariranha,8547,8094,8094,"100,00%","94,00%","94,00%","133,2","64,19"
Artur Nogueira,44177,39998,39952,"100,00%","90,00%","90,00%",178,"248,15"
Arujá,74905,71916,71916,"100,00%","96,00%","96,00%","96,4","777,35"
Aspásia,1809,1257,1257,"100,00%","69,00%","69,00%","69,3","26,09"
Assis,95144,90991,90618,"100,00%","95,00%","95,00%","460,3","206,7"
Atibaia,126603,115229,114272,"100,00%","91,00%","90,00%","478,4","264,61"
Auriflama,14202,12948,12948,"100,00%","91,00%","91,00%",434,"32,72"
Avaí,4959,3330,3273,"100,00%","67,00%","66,00%","540,5","9,18"
Avanhandava,11310,9563,9563,"100,00%","84,00%","84,00%","338,6","33,4"
Avaré,82934,79391,76486,"100,00%","95,00%","92,00%","1213,1","68,37"
Bady Bassitt,14603,13659,13659,"100,00%","93,00%","93,00%","108,5","134,54"
Balbinos,3702,1191,1191,"100,00%","32,00%","32,00%","91,6","40,4"
Bálsamo,8160,7474,7474,"100,00%","91,00%","91,00%","150,6","54,18"
Bananal,10223,8157,7939,"100,00%","79,00%","77,00%",616,"16,59"
Barão de Antonina,3116,1913,1913,"100,00%","61,00%","61,00%","153,1","20,35"
Barbosa,6593,5575,5394,"100,00%","84,00%","81,00%","205,2","32,14"
Bariri,31593,29975,29921,"100,00%","94,00%","94,00%","444,1","71,14"
Barra Bonita,35246,34507,34277,"100,00%","97,00%","97,00%","149,9","235,12"
Barra do Chapéu,5244,1544,1544,"100,00%","29,00%","29,00%","405,7","12,93"
Barra do Turvo,7729,3174,3174,"100,00%","41,00%","41,00%","1007,8","7,67"
Barretos,112101,108686,108174,"100,00%","96,00%","96,00%","1565,6","71,6"
Barrinha,28496,28180,27909,"100,00%","98,00%","97,00%","145,6","195,66"
Barueri,240749,240749,112726,"100,00%","100,00%","46,00%","66,1","3639,94"
Bastos,20445,17608,17577,"100,00%","86,00%","85,00%","171,9","118,95"
Batatais,56476,49945,49945,"100,00%","88,00%","88,00%","849,5","66,48"
Bauru,343937,338184,336352,"100,00%","98,00%","97,00%","667,7","515,12"
Bebedouro,75035,71503,70092,"100,00%","95,00%","93,00%","683,3","109,81"
Bento de Abreu,2674,2444,2444,"100,00%","91,00%","91,00%","301,4","8,87"
Bernardino de Campos,10775,9658,9658,"100,00%","89,00%","89,00%","244,2","44,12"
Bertioga,47645,46867,46867,"100,00%","98,00%","98,00%",490,"97,23"
Bilac,7048,6481,6481,"100,00%","91,00%","91,00%","157,9","44,63"
Birigui,108728,105487,105487,"100,00%","97,00%","97,00%","530,9","204,79"
Biritiba-Mirim,28575,24525,24525,"100,00%","85,00%","85,00%","317,2","90,1"
Boa Esperança do Sul,13645,12184,12184,"100,00%","89,00%","89,00%","690,8","19,75"
Bocaina,10859,10006,10006,"100,00%","92,00%","92,00%","363,9","29,84"
Bofete,9618,6132,5783,"100,00%","63,00%","60,00%","653,5","14,72"
Boituva,48314,45448,45105,"100,00%","94,00%","93,00%",249,"194,07"
Bom Jesus dos Perdões,19708,17376,16981,"100,00%","88,00%","86,00%","107,6","183,08"
Bom Sucesso de Itararé,3571,2430,2430,"100,00%","68,00%","68,00%","133,6","26,73"
Borá,805,627,627,"100,00%","77,00%","77,00%","118,5","6,8"
Boracéia,4268,3827,2647,"100,00%","89,00%","62,00%","122,1","34,95"
Borborema,14529,13095,12723,"100,00%","90,00%","87,00%","552,3","26,31"
Borebi,2293,2000,2000,"100,00%","87,00%","87,00%",348,"6,59"
Botucatu,127328,122678,114588,"100,00%","96,00%","89,00%","1482,6","85,88"
Bragança Paulista,146744,142255,142255,"100,00%","96,00%","96,00%","512,6","286,26"
Braúna,5021,4390,4390,"100,00%","87,00%","87,00%","195,3","25,7"
Brejo Alegre,2573,2110,2107,"100,00%","82,00%","81,00%","105,4","24,41"
Brodowski,21107,20597,20597,"100,00%","97,00%","97,00%","279,5","75,51"
Brotas,21580,18599,17596,"100,00%","86,00%","81,00%","1101,4","19,59"
Buri,18563,14992,14825,"100,00%","80,00%","79,00%","1195,9","15,52"
Buritama,15418,14526,13927,"100,00%","94,00%","90,00%","326,8","47,19"
Buritizal,4053,3306,3306,"100,00%","81,00%","81,00%","266,4","15,21"
Cabrália Paulista,4365,3777,3777,"100,00%","86,00%","86,00%","239,9","18,19"
Cabreúva,41604,35261,5242,"100,00%","84,00%","12,00%","260,2","159,91"
Caçapava,84752,72517,66758,"100,00%","85,00%","78,00%","370,2","228,91"
Cachoeira Paulista,30091,24572,24572,"100,00%","81,00%","81,00%",288,"104,49"
Caconde,18538,12639,11615,"100,00%","68,00%","62,00%",470,"39,44"
Cafelândia,16607,14426,10362,"100,00%","86,00%","62,00%","920,1","18,05"
Caiabu,4072,3315,2389,"100,00%","81,00%","58,00%","252,8","16,11"
Caieiras,86529,84386,82850,"100,00%","97,00%","95,00%","96,7","894,84"
Caiuá,5039,1930,1930,"100,00%","38,00%","38,00%","552,1","9,13"
Cajamar,64114,62823,11326,"100,00%","97,00%","17,00%","131,4","487,92"
Cajati,28372,20720,19323,"100,00%","73,00%","68,00%","454,4","62,43"
Cajobi,9768,9133,8073,"100,00%","93,00%","82,00%","176,9","55,22"
Cajuru,23371,20795,20795,"100,00%","88,00%","88,00%","660,1","35,41"
Campina do Monte Alegre,5567,4710,4408,"100,00%","84,00%","79,00%",185,"30,09"
Campinas,1080113,1061540,954611,"100,00%","98,00%","88,00%",795,"1358,63"
Campo Limpo Paulista,74074,74074,60225,"100,00%","100,00%","81,00%","79,6","930,79"
Campos do Jordão,47789,47491,47491,"100,00%","99,00%","99,00%","290,5","164,49"
Campos Novos Paulista,4539,3528,3528,"100,00%","77,00%","77,00%",484,"9,38"
Cananéia,12226,10436,10126,"100,00%","85,00%","82,00%","1242,9","9,84"
Canas,4385,4070,4070,"100,00%","92,00%","92,00%","53,3","82,33"
Cândido Mota,29884,28096,25956,"100,00%","94,00%","86,00%","596,2","50,12"
Cândido Rodrigues,2668,2153,2153,"100,00%","80,00%","80,00%","70,3","37,94"
Canitar,4369,4138,4138,"100,00%","94,00%","94,00%","57,2","76,34"
Capão Bonito,46178,37824,37620,"100,00%","81,00%","81,00%","1640,2","28,15"
Capela do Alto,17532,14522,10399,"100,00%","82,00%","59,00%","169,9","103,2"
Capivari,48576,45904,45246,"100,00%","94,00%","93,00%","322,7","150,53"
Caraguatatuba,100840,96673,54955,"100,00%","95,00%","54,00%","485,4","207,76"
Carapicuíba,369584,369584,230112,"100,00%","100,00%","62,00%","34,6","10680,1"
Cardoso,11805,10730,9561,"100,00%","90,00%","80,00%","639,7","18,45"
Casa Branca,28307,23154,21314,"100,00%","81,00%","75,00%","864,2","32,76"
Cássia dos Coqueiros,2634,1795,1795,"100,00%","68,00%","68,00%","191,7","13,74"
Castilho,18003,13586,12879,"100,00%","75,00%","71,00%","1065,8","16,89"
Catanduva,112820,111914,111914,"100,00%","99,00%","99,00%","290,6","388,24"
Catiguá,7127,6569,6569,"100,00%","92,00%","92,00%","148,4","48,03"
Cedral,7972,6307,6307,"100,00%","79,00%","79,00%","197,4","40,38"
Cerqueira César,17532,15716,15716,"100,00%","89,00%","89,00%","508,5","34,48"
Cerquilho,39617,37567,37567,"100,00%","94,00%","94,00%","127,8","309,98"
Cesário Lange,15540,10492,9238,"100,00%","67,00%","59,00%","190,8","81,46"
Charqueada,15085,13686,10311,"100,00%","90,00%","68,00%","175,8","85,79"
Chavantes,12114,11139,9231,"100,00%","91,00%","76,00%","188,1","64,4"
Clementina,7065,6734,6586,"100,00%","95,00%","93,00%","168,8","41,85"
Colina,17371,16223,16223,"100,00%","93,00%","93,00%","422,6","41,11"
Colômbia,5994,4332,4332,"100,00%","72,00%","72,00%","729,3","8,22"
Conchal,25229,23839,22854,"100,00%","94,00%","90,00%","182,8","138,02"
Conchas,16288,13197,12505,"100,00%","81,00%","76,00%",466,"34,95"
Cordeirópolis,21080,18934,18934,"100,00%","89,00%","89,00%","137,6","153,22"
Coroados,5238,4242,4242,"100,00%","80,00%","80,00%","246,4","21,26"
Coronel Macedo,5001,3865,3865,"100,00%","77,00%","77,00%","303,9","16,45"
Corumbataí,3874,2093,2093,"100,00%","54,00%","54,00%","278,6","13,9"
Cosmópolis,58827,54634,53836,"100,00%","92,00%","91,00%","154,7","380,37"
Cosmorama,7214,4945,4890,"100,00%","68,00%","67,00%","443,8","16,25"
Cotia,201150,201150,170513,"100,00%","100,00%","84,00%","323,1","622,55"
Cravinhos,31691,30902,30902,"100,00%","97,00%","97,00%","311,2","101,84"
Cristais Paulista,7588,5528,5211,"100,00%","72,00%","68,00%","385,2","19,7"
Cruzália,2274,1510,1510,"100,00%","66,00%","66,00%","149,1","15,26"
Cruzeiro,77039,75076,74954,"100,00%","97,00%","97,00%","305,7","252,01"
Cubatão,118720,118720,118720,"100,00%","100,00%","100,00%","142,4","833,81"
Cunha,21866,12167,11056,"100,00%","55,00%","50,00%","1407,3","15,54"
Descalvado,31056,27712,27674,"100,00%","89,00%","89,00%","753,7","41,2"
Diadema,386089,386089,386089,"100,00%","100,00%","100,00%","30,8","12519,1"
Dirce Reis,1689,1279,1279,"100,00%","75,00%","75,00%","88,4","19,12"
Divinolândia,11208,7500,6281,"100,00%","66,00%","56,00%","222,1","50,46"
Dobrada,7939,7762,7762,"100,00%","97,00%","97,00%","149,7","53,02"
Dois Córregos,24761,23446,22242,"100,00%","94,00%","89,00%",633,"39,12"
Dolcinópolis,2096,1949,1949,"100,00%","92,00%","92,00%","78,3","26,76"
Dourado,8609,7869,7869,"100,00%","91,00%","91,00%","205,9","41,82"
Dracena,43258,39946,39046,"100,00%","92,00%","90,00%",488,"88,64"
Duartina,12251,10997,10997,"100,00%","89,00%","89,00%","264,6","46,31"
Dumont,8143,7854,7854,"100,00%","96,00%","96,00%","111,3","73,19"
Echaporã,6318,5032,4965,"100,00%","79,00%","78,00%","515,4","12,26"
Eldorado,14641,7205,6171,"100,00%","49,00%","42,00%","1654,3","8,85"
Elias Fausto,15775,12558,10380,"100,00%","79,00%","65,00%","202,7","77,83"
Elisiário,3120,2858,2540,"100,00%","91,00%","81,00%",94,"33,2"
Embaúba,2423,2060,2060,"100,00%","85,00%","85,00%","83,1","29,15"
Embu,240230,240230,240230,"100,00%","100,00%","100,00%","70,4","3412,5"
Embu-Guaçu,62769,61095,41432,"100,00%","97,00%","66,00%","154,9","405,11"
Emilianópolis,3020,2497,2497,"100,00%","82,00%","82,00%","224,5","13,45"
Engenheiro Coelho,15721,11498,11498,"100,00%","73,00%","73,00%","109,9","142,99"
Espírito Santo do Pinhal,41907,37245,37093,"100,00%","88,00%","88,00%","389,4","107,61"
Espírito Santo do Turvo,4244,3630,3630,"100,00%","85,00%","85,00%","193,7","21,92"
Estiva Gerbi,10044,8011,7851,"100,00%","79,00%","78,00%","74,2","135,35"
Estrela d'Oeste,8208,6831,6831,"100,00%","83,00%","83,00%","296,4","27,69"
Estrela do Norte,2658,2099,2099,"100,00%","78,00%","78,00%","263,4","10,09"
Euclides da Cunha Paulista,9585,6111,6111,"100,00%","63,00%","63,00%","575,2","16,66"
Fartura,15320,12238,12238,"100,00%","79,00%","79,00%","429,2","35,7"
Fernando Prestes,5534,4698,3376,"100,00%","84,00%","61,00%","170,7","32,43"
Fernandópolis,64696,62714,61962,"100,00%","96,00%","95,00%",550,"117,62"
Fernão,1563,850,850,"100,00%","54,00%","54,00%","100,8","15,51"
Ferraz de Vasconcelos,168306,160754,112642,"100,00%","95,00%","66,00%","29,9","5624,82"
Flora Rica,1752,1418,1418,"100,00%","80,00%","80,00%","225,3","7,78"
Floreal,3003,2439,2439,"100,00%","81,00%","81,00%","204,3","14,7"
Flórida Paulista,12848,10137,9184,"100,00%","78,00%","71,00%","525,1","24,47"
Florínia,2829,2512,2477,"100,00%","88,00%","87,00%","225,6","12,54"
Franca,318640,313046,313046,"100,00%","98,00%","98,00%","605,7","526,09"
Francisco Morato,154472,154158,154158,"100,00%","99,00%","99,00%","49,3","3130,45"
Franco da Rocha,131604,121244,121148,"100,00%","92,00%","92,00%","134,1","981,28"
Gabriel Monteiro,2708,2257,2257,"100,00%","83,00%","83,00%","138,5","19,55"
Gália,7011,5225,5225,"100,00%","74,00%","74,00%",356,"19,69"
Garça,43115,39192,38148,"100,00%","90,00%","88,00%","555,6","77,6"
Gastão Vidigal,4193,3756,3748,"100,00%","89,00%","89,00%","180,9","23,17"
Gavião Peixoto,4419,3575,3575,"100,00%","80,00%","80,00%","243,8","18,13"
General Salgado,10669,9084,8508,"100,00%","85,00%","79,00%","493,3","21,63"
Getulina,10765,8334,7357,"100,00%","77,00%","68,00%","678,7","15,86"
Glicério,4565,3362,2709,"100,00%","73,00%","59,00%","273,6","16,69"
Guaiçara,10670,9694,9694,"100,00%","90,00%","90,00%","270,2","39,48"
Guaimbê,5425,4740,4740,"100,00%","87,00%","87,00%",218,"24,88"
Guaíra,37404,36059,35819,"100,00%","96,00%","95,00%","1258,5","29,72"
Guapiaçu,17869,15805,14744,"100,00%","88,00%","82,00%",326,"54,81"
Guapiara,17998,7233,7233,"100,00%","40,00%","40,00%","408,3","44,08"
Guará,19858,19223,18703,"100,00%","96,00%","94,00%","362,5","54,78"
Guaraçaí,8435,6654,6654,"100,00%","78,00%","78,00%","569,9","14,8"
Guaraci,9976,8927,8687,"100,00%","89,00%","87,00%","641,5","15,55"
Guarani d'Oeste,1970,1735,1735,"100,00%","88,00%","88,00%","85,5","23,03"
Guarantã,6404,5462,5462,"100,00%","85,00%","85,00%","461,1","13,89"
Guararapes,30597,28318,28257,"100,00%","92,00%","92,00%","956,3","31,99"
Guararema,25844,22240,14987,"100,00%","86,00%","57,00%","270,6","95,5"
Guaratinguetá,112072,106762,105327,"100,00%","95,00%","93,00%","752,4","148,95"
Guareí,14565,8413,8413,"100,00%","57,00%","57,00%","566,3","25,72"
Guariba,35486,34748,34748,"100,00%","97,00%","97,00%","270,3","131,29"
Guarujá,290752,290696,138746,"100,00%","99,00%","47,00%","142,9","2034,91"
Guarulhos,1221979,1221979,784738,"100,00%","100,00%","64,00%","319,2","3828,36"
Guatapará,6966,5116,5116,"100,00%","73,00%","73,00%","413,1","16,86"
Guzolândia,4754,4021,4021,"100,00%","84,00%","84,00%",252,"18,86"
Herculândia,8696,7921,7635,"100,00%","91,00%","87,00%","364,6","23,85"
Holambra,11299,8184,6542,"100,00%","72,00%","57,00%","65,6","172,3"
Hortolândia,192692,192692,192692,"100,00%","100,00%","100,00%","62,5","3082,92"
Iacanga,10013,8726,8382,"100,00%","87,00%","83,00%","547,4","18,29"
Iacri,6419,5050,4495,"100,00%","78,00%","70,00%","322,6","19,9"
Iaras,6376,2837,2837,"100,00%","44,00%","44,00%","401,3","15,89"
Ibaté,30734,29508,29508,"100,00%","96,00%","96,00%","290,7","105,74"
Ibirá,10896,10045,9248,"100,00%","92,00%","84,00%","271,9","40,07"
Ibirarema,6725,6212,6212,"100,00%","92,00%","92,00%","228,3","29,45"
Ibitinga,53158,51057,50751,"100,00%","96,00%","95,00%","689,3","77,12"
Ibiúna,71217,24933,24519,"100,00%","35,00%","34,00%","1057,5","67,34"
Icém,7462,6404,6394,"100,00%","85,00%","85,00%","362,6","20,58"
Iepê,7628,6773,6773,"100,00%","88,00%","88,00%","595,5","12,81"
Igaraçu do Tietê,23362,23228,23228,"100,00%","99,00%","99,00%","97,7","239,07"
Igarapava,27952,26362,26362,"100,00%","94,00%","94,00%","468,2","59,7"
Igaratá,8831,7005,7005,"100,00%","79,00%","79,00%",293,"30,14"
Iguape,28841,24687,24687,"100,00%","85,00%","85,00%","1977,4","14,59"
Ilha Comprida,9025,9025,9025,"100,00%","100,00%","100,00%","188,4","47,9"
Ilha Solteira,25064,23520,23520,"100,00%","93,00%","93,00%","656,2","38,19"
Ilhabela,28196,28002,23595,"100,00%","99,00%","83,00%","347,5","81,13"
Indaiatuba,201619,199592,199075,"100,00%","98,00%","98,00%","311,4","647,54"
Indiana,4825,4127,4127,"100,00%","85,00%","85,00%","126,6","38,1"
Indiaporã,3903,3379,3253,"100,00%","86,00%","83,00%","279,6","13,96"
Inúbia Paulista,3630,3177,3177,"100,00%","87,00%","87,00%","87,4","41,53"
Ipaussu,13663,12588,12588,"100,00%","92,00%","92,00%","209,7","65,17"
Iperó,28300,17463,13646,"100,00%","61,00%","48,00%",170,"166,42"
Ipeúna,6016,5178,4875,"100,00%","86,00%","81,00%",190,"31,66"
Ipiguá,4463,2697,2697,"100,00%","60,00%","60,00%","136,8","32,62"
Iporanga,4299,2401,1958,"100,00%","55,00%","45,00%","1152,1","3,73"
Ipuã,14148,13562,12575,"100,00%","95,00%","88,00%","465,9","30,37"
Iracemápolis,20029,19616,19616,"100,00%","97,00%","97,00%","115,1","173,99"
Irapuã,7275,6489,6489,"100,00%","89,00%","89,00%","257,9","28,21"
Irapuru,7789,5507,5507,"100,00%","70,00%","70,00%","214,9","36,24"
Itaberá,17858,12139,11213,"100,00%","67,00%","62,00%","1082,1","16,5"
Itaí,24008,18852,18422,"100,00%","78,00%","76,00%","1111,2","21,61"
Itajobi,14556,12142,11453,"100,00%","83,00%","78,00%","502,1","28,99"
Itaju,3246,2361,2361,"100,00%","72,00%","72,00%","229,8","14,12"
Itanhaém,87057,86242,86116,"100,00%","99,00%","98,00%","599,6","145,2"
Itaóca,3228,1760,918,"100,00%","54,00%","28,00%",183,"17,64"
Itapecerica da Serra,152614,151349,151349,"100,00%","99,00%","99,00%","150,3","1015,41"
Itapetininga,144377,131050,123401,"100,00%","90,00%","85,00%","1790,2","80,65"
Itapeva,87753,73956,72538,"100,00%","84,00%","82,00%","1826,3","48,05"
Itapevi,200769,200769,200769,"100,00%","100,00%","100,00%","83,1","2415,79"
Itapira,68537,63576,61414,"100,00%","92,00%","89,00%","518,4","132,21"
Itapirapuã Paulista,3880,1892,1892,"100,00%","48,00%","48,00%","406,5","9,55"
Itápolis,40051,36325,32676,"100,00%","90,00%","81,00%","996,9","40,18"
Itaporanga,14549,11033,11033,"100,00%","75,00%","75,00%","507,7","28,66"
Itapuí,12173,11630,11561,"100,00%","95,00%","94,00%","140,8","86,46"
Itapura,4357,3482,3482,"100,00%","79,00%","79,00%","301,4","14,46"
Itaquaquecetuba,321770,321770,321770,"100,00%","100,00%","100,00%",83,"3877,73"
Itararé,47934,44270,43386,"100,00%","92,00%","90,00%","1003,6","47,76"
Itariri,15471,9879,6313,"100,00%","63,00%","40,00%","273,8","56,5"
Itatiba,101471,85666,85666,"100,00%","84,00%","84,00%","322,2","314,92"
Itatinga,18052,16420,16050,"100,00%","90,00%","88,00%","979,8","18,42"
Itirapina,15524,14001,13219,"100,00%","90,00%","85,00%","564,2","27,52"
Itirapuã,5914,4929,4929,"100,00%","83,00%","83,00%","161,1","36,71"
Itobi,7546,6800,6800,"100,00%","90,00%","90,00%","139,2","54,2"
Itu,154147,144269,111735,"100,00%","93,00%","72,00%","640,8","240,57"
Itupeva,44859,38955,32587,"100,00%","86,00%","72,00%","200,7","223,46"
Ituverava,38695,36430,33267,"100,00%","94,00%","85,00%","705,2","54,87"
Jaborandi,6592,6166,6166,"100,00%","93,00%","93,00%","273,4","24,11"
Jaboticabal,71662,69527,68199,"100,00%","97,00%","95,00%","706,6","101,42"
Jacareí,211214,208297,183893,"100,00%","98,00%","87,00%","459,7","459,48"
Jaci,5657,4871,4871,"100,00%","86,00%","86,00%","145,5","38,87"
Jacupiranga,17208,9369,9369,"100,00%","54,00%","54,00%","704,1","24,44"
Jaguariúna,44311,43033,41768,"100,00%","97,00%","94,00%","141,8","312,56"
Jales,47012,44239,44239,"100,00%","94,00%","94,00%","368,5","127,57"
Jambeiro,5349,2561,2561,"100,00%","47,00%","47,00%","184,3","29,03"
Jandira,108344,108344,108344,"100,00%","100,00%","100,00%","17,7","6124,59"
Jardinópolis,37661,36141,34238,"100,00%","95,00%","90,00%","502,5","74,95"
Jarinu,23847,18429,12668,"100,00%","77,00%","53,00%","207,6","114,85"
Jaú,131040,126943,117818,"100,00%","96,00%","89,00%","685,8","191,09"
Jeriquara,3160,2606,2606,"100,00%","82,00%","82,00%",142,"22,26"
Joanópolis,11768,11768,11768,"100,00%","100,00%","100,00%","375,1","31,37"
João Ramalho,4150,3543,3543,"100,00%","85,00%","85,00%","415,2","9,99"
José Bonifácio,32763,29684,28547,"100,00%","90,00%","87,00%","859,9","38,1"
Júlio Mesquita,4430,4214,4214,"100,00%","95,00%","95,00%","128,2","34,55"
Jumirim,2798,1623,1199,"100,00%","58,00%","42,00%","56,7","49,36"
Jundiaí,370126,354204,351535,"100,00%","95,00%","94,00%","431,5","857,77"
Junqueirópolis,18726,15399,15399,"100,00%","82,00%","82,00%",583,"32,12"
Juquiá,19246,12139,12139,"100,00%","63,00%","63,00%",822,"23,41"
Juquitiba,28737,22240,17459,"100,00%","77,00%","60,00%","522,1","55,04"
Lagoinha,4841,3138,3138,"100,00%","64,00%","64,00%","255,5","18,95"
Laranjal Paulista,25251,22612,20325,"100,00%","89,00%","80,00%",384,"65,75"
Lavínia,8779,4285,4216,"100,00%","48,00%","48,00%","537,7","16,33"
Lavrinhas,6590,6049,4376,"100,00%","91,00%","66,00%","167,1","39,45"
Leme,91756,89862,88634,"100,00%","97,00%","96,00%","402,9","227,75"
Lençóis Paulista,61428,60051,59182,"100,00%","97,00%","96,00%","809,5","75,88"
Limeira,276022,267785,267173,"100,00%","97,00%","96,00%",581,"475,08"
Lindóia,6712,6712,6712,"100,00%","100,00%","100,00%","48,8","137,67"
Lins,71432,70597,70435,"100,00%","98,00%","98,00%","570,2","125,27"
Lorena,82537,80173,80173,"100,00%","97,00%","97,00%","414,4","199,19"
Lourdes,2128,1744,1744,"100,00%","81,00%","81,00%","113,7","18,71"
Louveira,37125,35695,35657,"100,00%","96,00%","96,00%","55,1","673,37"
Lucélia,19882,17219,17219,"100,00%","86,00%","86,00%","314,8","63,16"
Lucianópolis,2249,1780,1780,"100,00%","79,00%","79,00%","189,8","11,85"
Luís Antônio,11286,10901,10901,"100,00%","96,00%","96,00%","598,4","18,86"
Luiziânia,5030,4611,4611,"100,00%","91,00%","91,00%","166,5","30,2"
Lupércio,4353,3865,2413,"100,00%","88,00%","55,00%","154,5","28,18"
Lutécia,2714,2158,2158,"100,00%","79,00%","79,00%","474,9","5,71"
Macatuba,16259,15776,15759,"100,00%","97,00%","96,00%","225,2","72,19"
Macaubal,7663,6773,6773,"100,00%","88,00%","88,00%","248,1","30,88"
Macedônia,3664,2777,2777,"100,00%","75,00%","75,00%","327,7","11,18"
Magda,3200,2655,2655,"100,00%","82,00%","82,00%","311,7","10,27"
Mairinque,43223,34690,33100,"100,00%","80,00%","76,00%","209,6","206,18"
Mairiporã,80956,70750,13883,"100,00%","87,00%","17,00%","320,9","252,25"
Manduri,8992,7778,7252,"100,00%","86,00%","80,00%","229,1","39,26"
Marabá Paulista,4812,2142,2142,"100,00%","44,00%","44,00%","917,7","5,24"
Maracaí,13332,12085,10802,"100,00%","90,00%","81,00%","533,9","24,97"
Marapoama,2633,2199,2199,"100,00%","83,00%","83,00%","111,3","23,66"
Mariápolis,3916,3137,3071,"100,00%","80,00%","78,00%","185,9","21,07"
Marília,216745,207021,197011,"100,00%","95,00%","90,00%","1170,3","185,21"
Marinópolis,2113,1671,1671,"100,00%","79,00%","79,00%","77,8","27,15"
Martinópolis,24219,20341,18099,"100,00%","83,00%","74,00%","1252,7","19,33"
Matão,76786,75377,74014,"100,00%","98,00%","96,00%","524,9","146,3"
Mauá,417064,417064,417064,"100,00%","100,00%","100,00%","61,3","6803,54"
Mendonça,4640,3793,3793,"100,00%","81,00%","81,00%",195,"23,79"
Meridiano,3855,2674,2669,"100,00%","69,00%","69,00%","229,2","16,82"
Mesópolis,1886,1468,1468,"100,00%","77,00%","77,00%","148,9","12,67"
Miguelópolis,20451,19265,19156,"100,00%","94,00%","93,00%",822,"24,88"
Mineiros do Tietê,12038,11500,11419,"100,00%","95,00%","94,00%","213,2","56,45"
